우편번호,일련번호,시도,시군구,읍면동,리,도서,번지,아파트/건물명
210821,001,강원도,강릉시,강동면,모전리,,,
210822,001,강원도,강릉시,강동면,산성우리,,,
210821,021,강원도,강릉시,강동면,상시동리,,,
210822,021,강원도,강릉시,강동면,심곡리,,,
210824,031,강원도,강릉시,강동면,안인리,,,
210824,041,강원도,강릉시,강동면,안인진리,,,
210821,031,강원도,강릉시,강동면,언별리,,,
210824,001,강원도,강릉시,강동면,임곡리,,,
210824,011,강원도,강릉시,강동면,정동진1리,,,
210822,031,강원도,강릉시,강동면,정동진2리,,,
210822,041,강원도,강릉시,강동면,정동진3리,,,
210824,021,강원도,강릉시,강동면,정동진리,,,
210823,021,강원도,강릉시,강동면,하시동리,,,
210820,001,강원도,강릉시,강동면,,,,
210130,001,강원도,강릉시,강문동,,,,
210150,001,강원도,강릉시,견소동,,,,
210791,002,강원도,강릉시,견소동,,,,송정한신아파트 (101~105동)
210795,002,강원도,강릉시,견소동,,,,신도브래뉴아파트
210003,007,강원도,강릉시,교1동,,,,강릉우편집중국
210951,001,강원도,강릉시,교1동,,,1912~1920,
210752,002,강원도,강릉시,교1동,,,,교동주공1단지아파트 (101~114동)
210759,012,강원도,강릉시,교1동,,,,교동부영2단지아파트 (201~204동)
210753,012,강원도,강릉시,교1동,,,,교동부영6단지아파트 (601~605동)
210757,012,강원도,강릉시,교1동,,,,하이빌현대아파트 (101~103동)
210756,012,강원도,강릉시,교1동,,,,현대2차아파트
210101,001,강원도,강릉시,교1동,,,,
210755,002,강원도,강릉시,교1동,,,,교동주공3단지아파트 (301~312동)
210754,002,강원도,강릉시,교1동,,,,교동주공2단지아파트 (201~208동)
210923,001,강원도,강릉시,교1동,,,655~710,
210923,011,강원도,강릉시,교1동,,,715~720,
210923,021,강원도,강릉시,교1동,,,725~786,
210924,011,강원도,강릉시,교1동,,,1279~1519,
210924,001,강원도,강릉시,교1동,,,908~1270,
210924,031,강원도,강릉시,교1동,,,1689~1911,
210924,021,강원도,강릉시,교1동,,,1525~1600,
210923,031,강원도,강릉시,교1동,,,815~906,
210770,012,강원도,강릉시,교1동,,,,강릉교동롯데캐슬아파트 (101~104동)
210770,022,강원도,강릉시,교1동,,,,강릉교동롯데캐슬아파트 (201~204동)
210751,002,강원도,강릉시,교1동,,,,교동부영1단지아파트 (101~107동)
210758,012,강원도,강릉시,교1동,,,,교동부영5단지아파트 (501~506동)
210750,012,강원도,강릉시,교1동,,,,교동부영3단지아파트 (301~304동)
210768,012,강원도,강릉시,교2동,,,,대림e-편한세상아파트 (101~104동)
210920,001,강원도,강릉시,교2동,,,1~242,
210921,041,강원도,강릉시,교2동,,, 산1~164,
210921,021,강원도,강릉시,교2동,,,1520~1524,
210921,031,강원도,강릉시,교2동,,,1601~1688,
210921,011,강원도,강릉시,교2동,,,1271~1278,
210921,001,강원도,강릉시,교2동,,,243~267,
210922,011,강원도,강릉시,교2동,,,711~714,
210922,031,강원도,강릉시,교2동,,,787~814,
210922,041,강원도,강릉시,교2동,,,907,
210922,021,강원도,강릉시,교2동,,,721~724,
210922,001,강원도,강릉시,교2동,,,268~654,
210102,001,강원도,강릉시,교2동,,,,
210100,001,강원도,강릉시,교동,,,,
210811,001,강원도,강릉시,구정면,구정리,,,
210812,011,강원도,강릉시,구정면,금광리,,,
210813,011,강원도,강릉시,구정면,덕현리,,,
210812,021,강원도,강릉시,구정면,어단리,,,
210811,051,강원도,강릉시,구정면,여찬리,,,
210814,011,강원도,강릉시,구정면,제비리,,,
210811,031,강원도,강릉시,구정면,학산리,,,
210810,001,강원도,강릉시,구정면,,,,
210060,001,강원도,강릉시,금학동,,,,
210360,001,강원도,강릉시,난곡동,,,,
210707,007,강원도,강릉시,난곡동,,,,춘천지방검찰청강릉지청
210706,007,강원도,강릉시,난곡동,,,,춘천지방법원강릉지원
210020,001,강원도,강릉시,남문동,,,,
210300,001,강원도,강릉시,남항진동,,,,
210160,001,강원도,강릉시,내곡동,,,,
210701,005,강원도,강릉시,내곡동,,,,관동대학교
210771,002,강원도,강릉시,내곡동,,,,내곡한라아파트
210772,002,강원도,강릉시,내곡동,,,,주공아파트
210773,002,강원도,강릉시,내곡동,,,,삼익아파트
210773,012,강원도,강릉시,내곡동,,,,삼익타워아파트
210772,012,강원도,강릉시,내곡동,,,,현대아파트
210925,001,강원도,강릉시,내곡동,,,1~199,
210926,011,강원도,강릉시,내곡동,,, 산1~98,
210927,001,강원도,강릉시,내곡동,,,464~623,
210926,001,강원도,강릉시,내곡동,,,200~463,
210928,001,강원도,강릉시,노암동,,,1~220,
210932,001,강원도,강릉시,노암동,,,600~1000,
210931,001,강원도,강릉시,노암동,,,346~500,
210928,011,강원도,강릉시,노암동,,,501~599,
210930,001,강원도,강릉시,노암동,,,238~345,
210929,001,강원도,강릉시,노암동,,,221~237,
210781,002,강원도,강릉시,노암동,,,,주공아파트 (201~207동)
210782,002,강원도,강릉시,노암동,,,,남산현대아파트
210783,002,강원도,강릉시,노암동,,,,한라1차아파트 (101~201동)
210210,001,강원도,강릉시,노암동,,,,
210785,012,강원도,강릉시,노암동,,,,노암3차한라아파트 (101~105동)
210708,007,강원도,강릉시,노암동,,,,강릉교육지원청
210784,002,강원도,강릉시,노암동,,,,신화아파트
210783,012,강원도,강릉시,노암동,,,,한라2차아파트 (101~201동)
210775,012,강원도,강릉시,노암동,,,,양우내안애아파트 (101~110동)
210190,001,강원도,강릉시,담산동,,,,
210340,001,강원도,강릉시,대전동,,,,
210270,001,강원도,강릉시,두산동,,,,
210030,001,강원도,강릉시,명주동,,,,
210200,001,강원도,강릉시,박월동,,,,
210290,001,강원도,강릉시,병산동,,,,
210851,001,강원도,강릉시,사천면,노동리,,,
210851,011,강원도,강릉시,사천면,덕실리,,,
210852,001,강원도,강릉시,사천면,미노리,,,
210852,011,강원도,강릉시,사천면,방동리,,,
210711,003,강원도,강릉시,사천면,방동리,,,강릉아산병원
210851,021,강원도,강릉시,사천면,사기막리,,,
210853,001,강원도,강릉시,사천면,사천진리,,,
210852,021,강원도,강릉시,사천면,산대월리,,,
210851,031,강원도,강릉시,사천면,석교리,,,
210853,011,강원도,강릉시,사천면,판교리,,,
210853,021,강원도,강릉시,사천면,하평리,,,
210850,001,강원도,강릉시,사천면,,,,
210050,001,강원도,강릉시,성남동,,,,
210714,003,강원도,강릉시,성내동,,,,빈폴타워
210040,001,강원도,강릉시,성내동,,,,
210040,017,강원도,강릉시,성내동,,,,강릉우체국
210842,041,강원도,강릉시,성산면,관음리,,,
210842,051,강원도,강릉시,성산면,구산리,,,
210842,001,강원도,강릉시,성산면,금산리,,,
210843,001,강원도,강릉시,성산면,보광리,,,
210841,031,강원도,강릉시,성산면,산북리,,,
210842,021,강원도,강릉시,성산면,송암리,,,
210843,011,강원도,강릉시,성산면,어흘리,,,
210843,021,강원도,강릉시,성산면,오봉리,,,
210842,031,강원도,강릉시,성산면,위촌리,,,
210840,001,강원도,강릉시,성산면,,,,
210140,001,강원도,강릉시,송정동,,,,
210713,007,강원도,강릉시,송정동,,,,국민건강보험공단강릉지사
210240,001,강원도,강릉시,신석동,,,,
210380,001,강원도,강릉시,안현동,,,,
210861,001,강원도,강릉시,연곡면,동덕리,,,
210862,001,강원도,강릉시,연곡면,방내리,,,
210863,001,강원도,강릉시,연곡면,삼산1리,,,
210863,011,강원도,강릉시,연곡면,삼산2리,,,
210863,021,강원도,강릉시,연곡면,삼산3리,,,
210864,001,강원도,강릉시,연곡면,삼산4리,,,
210863,031,강원도,강릉시,연곡면,삼산리,,,
210862,021,강원도,강릉시,연곡면,송림리,,,
210862,031,강원도,강릉시,연곡면,신왕리,,,
210861,011,강원도,강릉시,연곡면,영진리,,,
210762,022,강원도,강릉시,연곡면,영진리,,,연곡부영사랑으로2단지아파트 (201~205동)
210762,012,강원도,강릉시,연곡면,영진리,,,연곡부영사랑으로1단지아파트 (101~102동)
210762,032,강원도,강릉시,연곡면,영진리,,,연곡부영사랑으로3단지아파트 (301~306동)
210865,001,강원도,강릉시,연곡면,유등리,,,
210865,011,강원도,강릉시,연곡면,퇴곡리,,,
210865,021,강원도,강릉시,연곡면,행정리,,,
210860,001,강원도,강릉시,연곡면,,,,
210831,001,강원도,강릉시,옥계면,금진리,,,
210832,001,강원도,강릉시,옥계면,낙풍리,,,
210833,001,강원도,강릉시,옥계면,남양리,,,
210833,031,강원도,강릉시,옥계면,도직리,,,
210832,011,강원도,강릉시,옥계면,북동리,,,
210834,001,강원도,강릉시,옥계면,산계리,,,
210831,021,강원도,강릉시,옥계면,조산리,,,
210833,021,강원도,강릉시,옥계면,주수리,,,
210833,011,강원도,강릉시,옥계면,천남리,,,
210834,011,강원도,강릉시,옥계면,현내리,,,
210830,001,강원도,강릉시,옥계면,,,,
210934,011,강원도,강릉시,옥천동,,,371~400,
210712,003,강원도,강릉시,옥천동,,,,삼성생명빌딩
210090,001,강원도,강릉시,옥천동,,,,
210710,003,강원도,강릉시,옥천동,,,,대한생명빌딩
210933,001,강원도,강릉시,옥천동,,,1~169,
210933,011,강원도,강릉시,옥천동,,,183~370,
210934,001,강원도,강릉시,옥천동,,,170~182,
210709,003,강원도,강릉시,옥천동,,,,교보빌딩
210776,013,강원도,강릉시,옥천동,,,,씨네몰
210914,001,강원도,강릉시,왕산면,고단리,,,
210913,001,강원도,강릉시,왕산면,대기리,,,
210911,001,강원도,강릉시,왕산면,도마1리,,,
210912,001,강원도,강릉시,왕산면,도마2리,,,
210911,021,강원도,강릉시,왕산면,도마리,,,
210912,011,강원도,강릉시,왕산면,목계리,,,
210914,011,강원도,강릉시,왕산면,송현리,,,
210911,011,강원도,강릉시,왕산면,왕산리,,,
